model,completion_rate
openrouter/anthropic/claude-opus-4.7,98.0
openrouter/openai/gpt-5.5,98.0
gpt-gemini,96.57142857142858
gpt-sonnet,92.5
openrouter/openai/gpt-5.2,87.5
openrouter/qwen/qwen3.7-max,83.0
openrouter/z-ai/glm-4.7,75.0
openrouter/minimax/minimax-m2.1,73.58333333333333
openrouter/mistralai/devstral-2512:free,67.91666666666666
openrouter/moonshotai/kimi-k2.6,58.0
