model,label,harness,completion_rate
openrouter/anthropic/claude-opus-4.7,claude-opus-4.7,opencode,98.00000000000001
openrouter/openai/gpt-5.5,gpt-5.5,opencode,98.00000000000001
openrouter/moonshotai/kimi-k2.6,kimi-k2.6,opencode,57.99999999999999
openrouter/deepseek/deepseek-v4-pro,deepseek-v4-pro,opencode,28.333333333333332
openrouter/qwen/qwen3.7-max,qwen3.7-max,opencode,83.0
openrouter/qwen/qwen3.6-27b,qwen3.6-27b,opencode,45.33333333333333
openrouter/,,opencode,0.0
openrouter/openai/gpt-5.1,gpt-5.1,opencode,57.99999999999999
