model,codex-cli,claude-code,opencode
opus,100.00,96.00,93.33
sonnet,92.50,90.00,83.33
5-1,38.50,,
5-1-codex,74.67,,
5-1-codex-max,81.67,,
5-2,92.50,,87.50
devstral,47.92,,65.00
gemini,96.57,,67.98
glm,82.50,,75.00
kimi,65.67,,80.50
minimax,12.50,,73.58
qwen,0.00,,62.92
